Date,Time,Temperature_C,Humidity_Percent,Occupancy,Appliance_Usage_kWh,Weather,Energy_Consumption_kWh
02-01-2024,07:00,38.0,57,3,3.43,Rainy,16.16
02-01-2024,08:00,31.5,85,3,4.93,Windy,18.17
02-01-2024,09:00,23.0,68,7,2.46,Sunny,17.13
02-01-2024,10:00,35.4,65,4,1.57,Rainy,14.02
02-01-2024,11:00,38.6,57,5,0.94,Sunny,13.88
02-01-2024,12:00,22.3,48,7,3.93,Sunny,17.79
02-01-2024,13:00,32.4,86,1,5.09,Sunny,17.57
02-01-2024,14:00,35.2,83,3,3.13,Cloudy,15.7
02-01-2024,15:00,32.0,40,6,3.05,Sunny,17.02
02-01-2024,16:00,21.7,43,0,1.33,Windy,8.39
02-01-2024,17:00,21.2,87,7,4.11,Rainy,18.53
02-01-2024,18:00,30.1,36,0,4.9,Sunny,14.19
02-01-2024,19:00,38.5,62,3,5.04,Cloudy,17.58
02-01-2024,20:00,22.7,67,3,4.7,Rainy,15.88
02-01-2024,21:00,27.2,43,0,5.51,Rainy,15.32
02-01-2024,22:00,32.6,87,8,2.81,Cloudy,19.2
02-01-2024,23:00,29.5,36,7,4.77,Sunny,19.88
03-01-2024,00:00,21.3,44,7,3.91,Sunny,17.63
03-01-2024,01:00,25.2,68,8,3.55,Sunny,19.57
03-01-2024,02:00,19.3,47,4,0.73,Sunny,10.56
03-01-2024,03:00,30.4,83,1,2.94,Cloudy,13.62
03-01-2024,04:00,28.0,69,7,3.29,Cloudy,18.21
03-01-2024,05:00,37.3,51,8,5.41,Cloudy,22.76
03-01-2024,06:00,21.0,42,6,2.93,Sunny,15.52
03-01-2024,07:00,27.4,48,4,4.81,Cloudy,17.58
03-01-2024,08:00,32.2,58,2,1.89,Cloudy,12.8
03-01-2024,09:00,22.8,41,6,5.37,Cloudy,19.27
03-01-2024,10:00,36.3,45,6,5.97,Windy,20.84
03-01-2024,11:00,22.3,55,1,4.47,Sunny,13.76
03-01-2024,12:00,28.1,80,0,2.61,Rainy,11.94
03-01-2024,13:00,19.4,85,3,5.84,Sunny,17.47
03-01-2024,14:00,24.0,84,2,1.99,Cloudy,12.53
03-01-2024,15:00,36.7,78,4,2.73,Windy,16.25
03-01-2024,16:00,20.0,38,2,2.84,Sunny,11.39
03-01-2024,17:00,18.4,40,4,0.96,Cloudy,9.65
03-01-2024,18:00,37.0,64,0,2.37,Windy,12.48
03-01-2024,19:00,23.9,43,0,3.4,Cloudy,11.83
03-01-2024,20:00,39.3,51,0,1.5,Rainy,11.03
03-01-2024,21:00,29.7,48,4,2.95,Cloudy,14.31
03-01-2024,22:00,35.7,51,0,0.58,Cloudy,8.95
03-01-2024,23:00,23.4,63,1,4.12,Windy,13.69
04-01-2024,00:00,30.0,60,8,2.19,Cloudy,17.84
04-01-2024,01:00,25.5,88,2,2.73,Rainy,14.3
04-01-2024,02:00,36.4,35,1,3.94,Rainy,14.14
04-01-2024,03:00,19.2,77,6,5.29,Rainy,19.46
04-01-2024,04:00,33.2,37,7,1.52,Rainy,15.25
04-01-2024,05:00,23.8,56,8,2.28,Sunny,17.38
04-01-2024,06:00,24.8,57,2,0.51,Windy,8.62
04-01-2024,07:00,24.1,76,3,1.86,Sunny,12.2
04-01-2024,08:00,36.0,44,6,3.73,Windy,17.19
04-01-2024,09:00,24.7,49,1,3.72,Cloudy,12.96
04-01-2024,10:00,33.8,73,6,4.7,Windy,19.34
04-01-2024,11:00,33.9,76,2,0.74,Windy,11.51
04-01-2024,12:00,35.9,43,8,4.64,Sunny,21.55
04-01-2024,13:00,30.8,80,3,0.97,Sunny,11.94
04-01-2024,14:00,25.9,41,6,5.1,Sunny,19.06
04-01-2024,15:00,31.8,78,3,3.19,Sunny,15.56
04-01-2024,16:00,19.5,67,8,1.01,Sunny,15.11
04-01-2024,17:00,28.4,86,1,5.15,Cloudy,16.62
04-01-2024,18:00,22.5,82,7,3.22,Windy,16.88
04-01-2024,19:00,38.0,53,0,3.89,Cloudy,13.3
04-01-2024,20:00,21.2,51,4,3.92,Cloudy,14.38
04-01-2024,21:00,19.3,52,1,4.31,Windy,12.62
04-01-2024,22:00,29.4,64,7,3.06,Sunny,18.62
04-01-2024,23:00,30.1,54,1,5.65,Sunny,16.25
05-01-2024,00:00,19.7,67,7,5.97,Windy,20.13
05-01-2024,01:00,38.8,48,1,3.7,Cloudy,14.72
05-01-2024,02:00,23.8,58,2,3.82,Rainy,14.59
05-01-2024,03:00,33.5,49,7,5.44,Windy,20.76
05-01-2024,04:00,21.5,66,7,2.73,Cloudy,16.16
05-01-2024,05:00,26.3,42,5,0.51,Rainy,12.1
05-01-2024,06:00,20.6,47,0,5.46,Rainy,13.68
05-01-2024,07:00,19.4,59,1,2.48,Windy,10.93
05-01-2024,08:00,36.8,52,1,0.78,Rainy,10.56
05-01-2024,09:00,21.3,52,6,3.31,Cloudy,16.23
05-01-2024,10:00,35.3,62,0,4.97,Windy,15.83
05-01-2024,11:00,38.7,70,3,4.46,Sunny,18.59
05-01-2024,12:00,27.0,74,2,4.04,Rainy,15.2
05-01-2024,13:00,38.1,70,2,1.44,Windy,12.27
05-01-2024,14:00,24.6,82,4,2.73,Cloudy,14.46
05-01-2024,15:00,30.3,60,1,1.42,Cloudy,9.93
05-01-2024,16:00,29.0,86,7,3.53,Windy,19.37
05-01-2024,17:00,39.9,63,6,1.27,Cloudy,15.2
05-01-2024,18:00,21.8,70,1,2.26,Rainy,10.84
05-01-2024,19:00,30.5,36,6,2.61,Cloudy,15.32
05-01-2024,20:00,25.4,38,7,2.03,Rainy,14.61
05-01-2024,21:00,29.1,75,3,1.01,Cloudy,11.69
05-01-2024,22:00,32.2,62,4,5.17,Sunny,18.24
05-01-2024,23:00,27.4,83,7,5.83,Windy,21.04
06-01-2024,00:00,26.6,87,8,5.21,Windy,21.34
06-01-2024,01:00,20.4,44,2,3.37,Sunny,13.3
06-01-2024,02:00,33.9,76,7,0.97,Sunny,15.21
06-01-2024,03:00,20.8,71,0,4.05,Rainy,13.44
06-01-2024,04:00,31.8,68,6,4.34,Sunny,18.77
06-01-2024,05:00,24.6,72,3,2.63,Cloudy,13.9
06-01-2024,06:00,18.0,69,4,5.98,Rainy,18.94
06-01-2024,07:00,32.2,50,7,3.39,Cloudy,17.35
06-01-2024,08:00,27.1,76,4,0.8,Cloudy,12.15
06-01-2024,09:00,32.8,61,1,1.91,Windy,12.04
06-01-2024,10:00,23.0,37,5,4.45,Rainy,16.86
06-01-2024,11:00,22.4,86,4,4.57,Sunny,17.05
06-01-2024,12:00,39.3,54,3,1.77,Cloudy,13.19
06-01-2024,13:00,37.6,41,7,3.86,Cloudy,19.03
06-01-2024,14:00,38.0,38,2,5.57,Sunny,17.3
06-01-2024,15:00,39.4,44,6,0.79,Sunny,14.11
06-01-2024,16:00,27.9,80,5,4.53,Sunny,19.29
06-01-2024,17:00,25.2,46,8,4.6,Sunny,19.58
06-01-2024,18:00,34.0,88,5,5.92,Windy,20.74
06-01-2024,19:00,18.1,52,1,2.43,Sunny,10.62
06-01-2024,20:00,34.7,59,5,4.73,Rainy,19.51
06-01-2024,21:00,27.5,38,7,1.58,Windy,14.02
06-01-2024,22:00,26.0,65,0,3.97,Cloudy,13.36
06-01-2024,23:00,34.9,37,6,0.69,Sunny,14.09
07-01-2024,00:00,19.4,47,1,5.44,Rainy,14.46
07-01-2024,01:00,25.4,74,0,1.94,Rainy,11.08
07-01-2024,02:00,24.5,81,1,0.63,Cloudy,8.8
07-01-2024,03:00,33.7,64,6,4.84,Windy,20.18
07-01-2024,04:00,20.9,66,2,0.55,Rainy,9.81
07-01-2024,05:00,35.0,73,3,2.3,Rainy,14.46
07-01-2024,06:00,35.2,73,1,3.32,Windy,14.42
07-01-2024,07:00,23.4,39,0,3.15,Rainy,10.41
07-01-2024,08:00,27.4,41,1,1.96,Sunny,10.25
07-01-2024,09:00,27.3,80,7,1.45,Cloudy,15.49
07-01-2024,10:00,31.6,78,3,4.61,Sunny,17.98
07-01-2024,11:00,24.5,52,4,2.55,Rainy,13.35
07-01-2024,12:00,23.4,50,3,1.34,Cloudy,10.64
07-01-2024,13:00,26.7,50,8,3.39,Sunny,18.66
07-01-2024,14:00,39.8,41,0,3.11,Cloudy,13.14
07-01-2024,15:00,38.1,37,4,1.78,Sunny,13.54
07-01-2024,16:00,39.4,72,3,5.62,Rainy,19.67
07-01-2024,17:00,21.9,73,4,4.76,Sunny,16.73
07-01-2024,18:00,31.1,74,5,1.7,Rainy,14.61
07-01-2024,19:00,19.0,51,0,3.8,Cloudy,11.87
07-01-2024,20:00,36.0,61,5,1.52,Rainy,14.19
07-01-2024,21:00,18.7,66,8,3.16,Windy,16.69
07-01-2024,22:00,26.7,70,2,4.02,Sunny,15.35
07-01-2024,23:00,26.8,52,6,5.94,Rainy,20.28
08-01-2024,00:00,19.1,82,5,2.78,Sunny,15.75
08-01-2024,01:00,39.9,58,3,2.65,Windy,14.42
08-01-2024,02:00,18.1,45,6,1.12,Sunny,12.36
08-01-2024,03:00,37.4,64,2,1.21,Sunny,12.37
08-01-2024,04:00,32.1,60,1,3.65,Rainy,14.39
08-01-2024,05:00,21.8,57,4,1.39,Cloudy,12.37
08-01-2024,06:00,20.4,66,3,2.16,Sunny,13.12
08-01-2024,07:00,28.6,38,6,0.97,Cloudy,13.23
08-01-2024,08:00,36.8,74,6,3.88,Cloudy,19.63
08-01-2024,09:00,22.0,48,0,2.7,Cloudy,10.0
08-01-2024,10:00,20.7,50,3,0.73,Sunny,10.24
08-01-2024,11:00,25.1,59,7,3.53,Rainy,18.03
08-01-2024,12:00,24.8,50,6,2.64,Rainy,15.4
08-01-2024,13:00,27.6,36,0,3.9,Windy,12.0
08-01-2024,14:00,27.8,74,7,5.1,Windy,20.36
08-01-2024,15:00,19.5,57,6,2.51,Windy,14.57
08-01-2024,16:00,32.5,37,2,0.95,Rainy,10.83
08-01-2024,17:00,29.3,38,8,5.42,Cloudy,20.28
08-01-2024,18:00,19.5,74,1,1.57,Windy,9.46
08-01-2024,19:00,35.8,85,2,4.27,Cloudy,16.12
08-01-2024,20:00,25.7,83,4,1.37,Rainy,13.76
08-01-2024,21:00,28.0,51,8,5.8,Windy,21.2
08-01-2024,22:00,23.8,67,3,2.25,Sunny,12.59
08-01-2024,23:00,26.9,75,4,4.24,Windy,16.35
09-01-2024,00:00,35.3,42,8,0.77,Rainy,16.13
09-01-2024,01:00,28.0,68,1,1.89,Windy,11.38
09-01-2024,02:00,26.2,59,5,3.68,Rainy,16.33
09-01-2024,03:00,19.8,49,2,3.88,Sunny,13.19
09-01-2024,04:00,29.4,54,5,4.53,Sunny,17.7
09-01-2024,05:00,24.4,75,6,2.8,Rainy,16.95
09-01-2024,06:00,20.9,49,0,0.62,Sunny,7.54
09-01-2024,07:00,24.7,68,5,3.44,Windy,16.14
09-01-2024,08:00,31.0,48,5,3.93,Windy,16.38
09-01-2024,09:00,18.3,86,3,4.39,Windy,14.96
09-01-2024,10:00,32.0,90,4,2.71,Rainy,16.69
09-01-2024,11:00,19.2,87,8,5.41,Windy,21.23
09-01-2024,12:00,29.4,66,3,1.41,Sunny,11.84
09-01-2024,13:00,29.7,60,2,1.81,Sunny,12.67
09-01-2024,14:00,20.3,74,8,4.11,Cloudy,18.61
09-01-2024,15:00,22.4,73,8,4.06,Windy,19.6
09-01-2024,16:00,21.8,54,1,2.15,Sunny,11.34
09-01-2024,17:00,33.9,65,8,0.53,Windy,15.7
09-01-2024,18:00,28.2,82,7,1.46,Sunny,15.75
09-01-2024,19:00,32.2,42,5,5.4,Rainy,19.48
09-01-2024,20:00,23.9,70,6,4.27,Rainy,17.96
09-01-2024,21:00,38.4,48,1,5.34,Sunny,16.46
09-01-2024,22:00,37.9,88,3,5.7,Rainy,19.64
09-01-2024,23:00,26.6,73,3,2.59,Windy,13.57
10-01-2024,00:00,29.7,35,0,2.9,Cloudy,11.07
10-01-2024,01:00,24.8,48,6,3.92,Sunny,17.4
10-01-2024,02:00,21.8,37,0,1.12,Cloudy,7.38
10-01-2024,03:00,21.1,36,0,0.73,Sunny,7.51
10-01-2024,04:00,34.2,39,5,1.6,Sunny,14.65
10-01-2024,05:00,34.6,80,6,1.09,Cloudy,14.76
10-01-2024,06:00,18.7,89,1,5.04,Rainy,15.24
10-01-2024,07:00,20.9,85,3,2.12,Rainy,12.82
10-01-2024,08:00,18.5,51,4,0.77,Rainy,11.1
10-01-2024,09:00,34.9,73,8,3.12,Rainy,19.81
10-01-2024,10:00,18.7,61,0,2.9,Sunny,10.52
10-01-2024,11:00,33.5,69,3,4.43,Sunny,17.4
10-01-2024,12:00,24.3,62,0,3.38,Rainy,12.38
10-01-2024,13:00,39.5,35,5,3.2,Windy,16.74
10-01-2024,14:00,36.2,66,5,5.76,Rainy,21.0
10-01-2024,15:00,21.5,87,3,5.66,Cloudy,17.81
10-01-2024,16:00,20.4,75,1,3.2,Sunny,12.76
10-01-2024,17:00,25.8,60,6,5.41,Sunny,19.76
10-01-2024,18:00,32.2,58,3,2.17,Windy,13.8
10-01-2024,19:00,29.0,59,3,5.69,Cloudy,17.96
10-01-2024,20:00,34.6,83,0,2.42,Rainy,12.56
10-01-2024,21:00,37.1,63,8,4.58,Cloudy,21.4
10-01-2024,22:00,33.2,51,3,1.19,Windy,11.98
10-01-2024,23:00,33.3,67,3,1.97,Cloudy,13.78
11-01-2024,00:00,39.4,81,5,3.82,Rainy,18.53
11-01-2024,01:00,25.2,47,4,5.86,Sunny,17.97
11-01-2024,02:00,32.5,47,6,1.33,Cloudy,14.68
11-01-2024,03:00,34.1,62,4,1.58,Sunny,13.66
11-01-2024,04:00,37.5,64,0,0.57,Windy,9.69
11-01-2024,05:00,29.0,75,4,3.05,Cloudy,15.16
11-01-2024,06:00,34.2,35,3,5.49,Windy,17.72
11-01-2024,07:00,30.9,76,6,5.15,Cloudy,20.55
11-01-2024,08:00,32.1,64,6,2.22,Sunny,16.83
11-01-2024,09:00,23.3,60,2,1.88,Windy,11.0
11-01-2024,10:00,18.4,89,6,3.35,Cloudy,17.22
11-01-2024,11:00,25.2,35,6,5.08,Sunny,17.94
11-01-2024,12:00,30.0,45,3,3.36,Sunny,15.14
11-01-2024,13:00,28.0,48,7,3.32,Rainy,17.58
11-01-2024,14:00,27.0,64,3,5.95,Cloudy,18.04
11-01-2024,15:00,34.8,42,5,4.01,Rainy,17.23
11-01-2024,16:00,26.8,35,1,2.8,Windy,11.37
11-01-2024,17:00,32.8,72,4,1.1,Rainy,13.67
11-01-2024,18:00,38.7,68,3,5.97,Windy,19.59
11-01-2024,19:00,21.6,84,1,4.95,Cloudy,15.1
11-01-2024,20:00,30.4,49,2,2.44,Windy,12.29
11-01-2024,21:00,24.5,70,2,4.79,Windy,15.34
11-01-2024,22:00,36.7,52,6,4.28,Windy,19.21
11-01-2024,23:00,28.6,86,4,2.47,Rainy,14.92
12-01-2024,00:00,28.7,74,1,4.13,Rainy,14.26
12-01-2024,01:00,24.7,59,0,0.97,Rainy,8.99
12-01-2024,02:00,21.1,88,5,3.98,Sunny,17.56
12-01-2024,03:00,22.6,39,4,1.88,Sunny,12.42
12-01-2024,04:00,36.8,46,7,2.41,Cloudy,16.66
12-01-2024,05:00,26.9,69,2,3.85,Sunny,15.12
12-01-2024,06:00,37.7,85,4,1.59,Cloudy,14.84
12-01-2024,07:00,34.3,63,1,3.55,Rainy,14.16
12-01-2024,08:00,36.2,65,7,3.56,Windy,19.03
12-01-2024,09:00,21.2,66,3,3.24,Sunny,13.58
12-01-2024,10:00,25.1,79,7,4.16,Windy,18.83
12-01-2024,11:00,27.2,78,1,1.49,Rainy,11.18
12-01-2024,12:00,18.6,74,0,4.25,Rainy,13.33
12-01-2024,13:00,20.1,65,7,4.66,Cloudy,18.13
12-01-2024,14:00,33.8,75,2,2.36,Rainy,13.49
12-01-2024,15:00,35.1,70,3,2.06,Rainy,13.99
12-01-2024,16:00,30.2,87,4,2.11,Windy,14.45
12-01-2024,17:00,29.1,52,8,2.4,Cloudy,17.33
12-01-2024,18:00,35.4,56,3,2.24,Rainy,13.44
12-01-2024,19:00,39.4,40,0,2.69,Windy,11.96
12-01-2024,20:00,19.1,54,1,0.53,Cloudy,8.2
12-01-2024,21:00,28.5,84,0,4.84,Windy,15.08
12-01-2024,22:00,31.8,79,1,1.67,Windy,11.7
12-01-2024,23:00,21.8,77,2,5.28,Windy,16.5
13-01-2024,00:00,38.1,76,0,2.53,Cloudy,13.1
13-01-2024,01:00,30.4,51,4,1.52,Sunny,12.85
13-01-2024,02:00,27.5,76,0,3.24,Sunny,13.17
13-01-2024,03:00,35.0,61,6,2.96,Sunny,17.83
13-01-2024,04:00,31.1,77,2,3.11,Windy,14.26
13-01-2024,05:00,19.8,65,3,5.43,Sunny,16.83
13-01-2024,06:00,18.2,77,1,5.93,Sunny,15.8
13-01-2024,07:00,20.7,65,0,2.01,Cloudy,9.48
13-01-2024,08:00,34.4,38,5,4.76,Cloudy,18.55
13-01-2024,09:00,19.9,75,8,4.4,Windy,19.64
13-01-2024,10:00,37.6,38,0,0.56,Sunny,9.57
13-01-2024,11:00,33.1,74,1,2.64,Rainy,13.51
13-01-2024,12:00,21.7,90,7,3.85,Rainy,18.61
13-01-2024,13:00,30.6,63,7,4.22,Cloudy,20.02
13-01-2024,14:00,20.6,76,2,3.96,Windy,14.06
13-01-2024,15:00,35.1,63,4,4.82,Rainy,18.26
13-01-2024,16:00,19.3,76,5,5.28,Sunny,19.05
13-01-2024,17:00,31.2,54,6,5.87,Cloudy,20.51
13-01-2024,18:00,33.1,73,3,4.94,Rainy,18.24
13-01-2024,19:00,25.1,52,6,1.37,Sunny,13.59
13-01-2024,20:00,21.1,90,2,2.01,Windy,11.63
13-01-2024,21:00,19.9,70,7,4.89,Cloudy,19.64
13-01-2024,22:00,33.9,49,4,3.84,Windy,16.27
13-01-2024,23:00,22.5,51,0,4.85,Windy,13.28
14-01-2024,00:00,29.8,57,1,1.78,Rainy,11.62
14-01-2024,01:00,29.5,65,8,3.74,Cloudy,19.02
14-01-2024,02:00,20.0,86,4,2.5,Rainy,14.04
14-01-2024,03:00,29.4,44,3,0.75,Windy,10.32
14-01-2024,04:00,20.3,75,7,4.83,Cloudy,19.09
14-01-2024,05:00,18.7,52,8,3.84,Sunny,17.53
14-01-2024,06:00,39.8,90,7,3.73,Cloudy,20.26
14-01-2024,07:00,35.1,62,1,5.71,Cloudy,16.82
14-01-2024,08:00,18.8,47,2,2.58,Sunny,10.85
14-01-2024,09:00,30.3,90,7,3.18,Sunny,19.5
14-01-2024,10:00,32.1,42,1,1.91,Cloudy,11.08
14-01-2024,11:00,39.0,77,8,2.66,Windy,19.8
14-01-2024,12:00,26.2,50,3,1.45,Rainy,12.19
14-01-2024,13:00,19.3,70,0,5.1,Sunny,13.82
14-01-2024,14:00,29.3,82,7,0.81,Cloudy,14.75
14-01-2024,15:00,18.1,47,4,3.74,Windy,14.58
14-01-2024,16:00,20.3,55,5,1.91,Sunny,13.18
14-01-2024,17:00,26.4,63,3,4.94,Sunny,16.93
14-01-2024,18:00,38.1,86,0,1.36,Cloudy,10.76
14-01-2024,19:00,31.6,58,2,4.78,Sunny,17.02
14-01-2024,20:00,26.5,36,1,2.99,Rainy,11.5
14-01-2024,21:00,23.1,42,5,1.29,Cloudy,12.47
14-01-2024,22:00,22.0,63,8,5.39,Windy,21.2
14-01-2024,23:00,23.9,61,3,1.36,Rainy,11.6
15-01-2024,00:00,24.5,86,2,1.93,Sunny,12.17
15-01-2024,01:00,37.9,42,2,5.88,Sunny,18.42
15-01-2024,02:00,35.3,48,8,3.13,Rainy,18.42
15-01-2024,03:00,34.6,58,6,5.95,Cloudy,21.92
15-01-2024,04:00,20.1,53,6,5.43,Sunny,19.47
15-01-2024,05:00,39.5,44,0,2.93,Rainy,12.68
15-01-2024,06:00,27.7,85,8,2.08,Rainy,17.6
15-01-2024,07:00,38.1,48,4,3.64,Cloudy,17.09
15-01-2024,08:00,29.5,49,2,1.58,Sunny,11.88
15-01-2024,09:00,37.6,81,7,4.69,Cloudy,21.0
15-01-2024,10:00,31.5,80,3,3.71,Cloudy,15.39
15-01-2024,11:00,33.2,68,6,5.13,Sunny,20.63
15-01-2024,12:00,25.6,53,7,1.0,Windy,14.44
15-01-2024,13:00,28.5,90,4,1.87,Rainy,13.79
15-01-2024,14:00,33.4,71,0,2.46,Windy,12.44
15-01-2024,15:00,19.6,57,3,4.99,Rainy,16.34
15-01-2024,16:00,37.1,71,0,2.1,Sunny,12.76
15-01-2024,17:00,28.9,67,0,3.42,Cloudy,11.89
15-01-2024,18:00,39.3,49,2,1.42,Rainy,11.92
15-01-2024,19:00,36.0,36,0,1.03,Cloudy,8.81
15-01-2024,20:00,36.4,75,7,3.38,Windy,18.59
15-01-2024,21:00,37.1,80,2,0.75,Sunny,12.05
15-01-2024,22:00,30.9,83,4,1.11,Sunny,13.42
15-01-2024,23:00,21.0,72,3,5.24,Cloudy,16.95
16-01-2024,00:00,28.2,60,2,5.72,Sunny,18.0
16-01-2024,01:00,26.6,61,8,0.7,Sunny,15.39
16-01-2024,02:00,25.4,50,5,4.44,Rainy,17.71
16-01-2024,03:00,36.6,38,5,3.35,Rainy,16.37
16-01-2024,04:00,27.3,75,0,2.5,Cloudy,10.72
16-01-2024,05:00,27.5,67,0,1.74,Windy,10.6
16-01-2024,06:00,35.1,64,0,4.95,Sunny,15.01
16-01-2024,07:00,32.1,52,4,3.96,Sunny,16.93
16-01-2024,08:00,23.5,68,0,2.89,Sunny,11.21
16-01-2024,09:00,24.7,76,2,1.16,Rainy,10.39
16-01-2024,10:00,31.0,44,7,1.18,Cloudy,15.13
16-01-2024,11:00,38.1,71,4,2.01,Sunny,15.65
16-01-2024,12:00,24.3,64,3,4.08,Cloudy,15.32
16-01-2024,13:00,26.1,70,4,3.87,Windy,16.5
16-01-2024,14:00,18.7,56,3,1.54,Windy,11.34
16-01-2024,15:00,26.7,57,2,5.24,Cloudy,15.9
16-01-2024,16:00,25.2,52,4,5.33,Cloudy,17.26
16-01-2024,17:00,35.0,45,8,0.87,Rainy,15.58
16-01-2024,18:00,19.4,59,7,2.45,Sunny,15.76
16-01-2024,19:00,39.8,78,2,2.79,Rainy,14.62
16-01-2024,20:00,22.5,74,4,5.02,Sunny,18.08
16-01-2024,21:00,34.4,83,7,1.98,Cloudy,17.17
16-01-2024,22:00,20.3,61,8,3.72,Windy,17.93
16-01-2024,23:00,39.8,44,6,5.17,Rainy,21.16
17-01-2024,00:00,31.4,59,7,4.31,Rainy,19.98
17-01-2024,01:00,24.4,60,8,3.55,Windy,18.51
17-01-2024,02:00,18.1,82,7,2.59,Rainy,15.92
17-01-2024,03:00,24.7,44,6,3.66,Cloudy,15.93
17-01-2024,04:00,38.2,55,3,5.77,Cloudy,19.67
17-01-2024,05:00,37.6,35,0,0.76,Windy,8.55
17-01-2024,06:00,29.8,54,8,3.91,Windy,19.29
17-01-2024,07:00,29.4,78,6,2.64,Rainy,16.22
17-01-2024,08:00,32.9,63,0,4.22,Cloudy,13.48
17-01-2024,09:00,26.2,60,8,5.61,Cloudy,22.03
17-01-2024,10:00,39.2,66,6,2.92,Rainy,18.34
17-01-2024,11:00,34.4,40,2,2.49,Rainy,13.58
17-01-2024,12:00,36.2,67,2,1.11,Rainy,12.27
17-01-2024,13:00,36.1,67,6,3.97,Rainy,19.64
17-01-2024,14:00,22.6,47,6,1.5,Sunny,13.42
17-01-2024,15:00,39.9,75,0,4.3,Sunny,16.06
17-01-2024,16:00,24.7,79,8,0.52,Rainy,14.82
17-01-2024,17:00,20.2,35,0,1.58,Windy,8.26
17-01-2024,18:00,30.5,90,8,3.33,Cloudy,19.83
17-01-2024,19:00,27.0,42,2,1.36,Sunny,9.94
17-01-2024,20:00,19.7,68,7,5.03,Windy,19.68
17-01-2024,21:00,19.4,35,5,1.29,Cloudy,11.28
17-01-2024,22:00,21.7,52,1,5.23,Sunny,14.67
17-01-2024,23:00,27.9,59,0,0.8,Windy,8.55
18-01-2024,00:00,39.1,63,0,3.91,Cloudy,13.97
18-01-2024,01:00,21.5,72,2,2.23,Windy,11.39
18-01-2024,02:00,31.3,66,1,1.84,Windy,11.56
18-01-2024,03:00,30.9,61,4,2.69,Windy,14.04
18-01-2024,04:00,37.1,40,2,1.43,Windy,11.02
18-01-2024,05:00,39.4,53,6,3.59,Sunny,18.51
18-01-2024,06:00,37.2,56,6,4.08,Sunny,19.15
18-01-2024,07:00,38.1,70,3,2.63,Windy,14.65
18-01-2024,08:00,23.2,37,4,4.15,Rainy,15.83
18-01-2024,09:00,23.3,43,1,1.58,Cloudy,9.47
18-01-2024,10:00,28.3,85,3,1.38,Rainy,12.38
18-01-2024,11:00,26.9,75,3,2.13,Windy,13.07
18-01-2024,12:00,23.0,63,2,5.68,Rainy,16.84
18-01-2024,13:00,27.7,58,8,1.85,Cloudy,15.83
18-01-2024,14:00,34.5,78,8,1.0,Rainy,17.11
18-01-2024,15:00,34.8,36,2,2.21,Windy,12.44
18-01-2024,16:00,33.3,84,3,2.27,Sunny,14.09
18-01-2024,17:00,38.1,86,8,4.67,Cloudy,21.78
18-01-2024,18:00,24.8,49,4,1.19,Windy,11.21
18-01-2024,19:00,26.9,64,2,5.65,Cloudy,16.3
18-01-2024,20:00,33.0,77,5,5.43,Sunny,20.69
18-01-2024,21:00,33.4,50,6,2.44,Sunny,15.88
18-01-2024,22:00,20.5,73,3,4.42,Sunny,15.7
18-01-2024,23:00,31.4,62,3,4.66,Cloudy,16.69
19-01-2024,00:00,18.9,54,2,3.61,Cloudy,12.94
